Ranking,City,State,Population
1,New York,NY,"8,804,190"
2,Los Angeles,CA,"3,898,747"
3,Chicago,IL,"2,746,388"
4,Houston,TX,"2,304,580"
5,Phoenix,AZ,"1,608,139"
6,Philadelphia,PA,"1,603,797"
7,San Antonio,TX,"1,434,625"
8,San Diego,CA,"1,386,932"
9,Dallas,TX,"1,304,379"
10,Austin,TX,"961,855"
11,Jacksonville,FL,"949,611"
12,San Jose,CA,"1,013,240"
13,Fort Worth,TX,"918,915"
14,Columbus,OH,"905,748"
15,Charlotte,NC,"874,579"
16,Indianapolis,IN,"887,642"
17,San Francisco,CA,"873,965"
18,Seattle,WA,"737,015"
19,Denver,CO,"715,522"
20,Oklahoma City,OK,"681,054"
21,Nashville,TN,"689,447"
22,El Paso,TX,"678,815"
23,Washington,DC,"689,545"
24,Las Vegas,NV,"641,903"
25,Boston,MA,"675,647"
26,Portland,OR,"652,503"
27,Louisville,KY,"633,045"
28,Memphis,TN,"633,104"
29,Detroit,MI,"639,111"
30,Baltimore,MD,"585,708"
31,Milwaukee,WI,"577,222"
32,Albuquerque,NM,"564,559"
33,Tucson,AZ,"542,629"
34,Fresno,CA,"542,107"
35,Sacramento,CA,"524,943"
36,Mesa,AZ,"504,258"
37,Kansas City,MO,"508,090"
38,Atlanta,GA,"498,715"
39,Colorado Springs,CO,"478,961"
40,Omaha,NE,"486,051"
41,Raleigh,NC,"467,665"
42,Virginia Beach,VA,"459,470"
43,Long Beach,CA,"466,742"
44,Miami,FL,"442,241"
45,Oakland,CA,"440,646"
46,Minneapolis,MN,"429,954"
47,Tulsa,OK,"413,066"
48,Bakersfield,CA,"403,455"
49,Tampa,FL,"384,959"
50,Wichita,KS,"397,532"
51,Arlington,TX,"394,266"
52,Aurora,CO,"386,261"
53,New Orleans,LA,"383,997"
54,Cleveland,OH,"372,624"
55,Anaheim,CA,"346,824"
56,Honolulu,HI,"350,964"
57,Henderson,NV,"317,610"
58,Stockton,CA,"320,804"
59,Riverside,CA,"314,998"
60,Lexington,KY,"322,570"
61,Corpus Christi,TX,"317,863"
62,Orlando,FL,"307,573"
63,Irvine,CA,"307,670"
64,Cincinnati,OH,"309,317"
65,Santa Ana,CA,"310,227"
66,Newark,NJ,"311,549"
67,Saint Paul,MN,"311,527"
68,Pittsburgh,PA,"302,971"
69,Greensboro,NC,"299,035"
70,Lincoln,NE,"291,082"
71,Durham,NC,"283,506"
72,Plano,TX,"285,494"
73,Anchorage,AK,"291,247"
74,Jersey City,NJ,"292,449"
75,St. Louis,MO,"301,578"
76,Chandler,AZ,"275,987"
77,North Las Vegas,NV,"262,527"
78,Chula Vista,CA,"275,487"
79,Buffalo,NY,"278,349"
80,Gilbert,AZ,"267,918"
81,Reno,NV,"264,165"
82,Madison,WI,"269,840"
83,Fort Wayne,IN,"263,886"
84,Toledo,OH,"270,871"
85,Lubbock,TX,"257,141"
86,St. Petersburg,FL,"258,308"
87,Laredo,TX,"255,205"
88,Irving,TX,"256,684"
89,Chesapeake,VA,"249,422"
90,Glendale,AZ,"248,325"
91,Winston-Salem,NC,"249,545"
92,Scottsdale,AZ,"241,361"
93,Garland,TX,"246,018"
94,Boise,ID,"235,684"
95,Norfolk,VA,"238,005"
96,Port St. Lucie,FL,"204,851"
97,Spokane,WA,"228,989"
98,Richmond,VA,"226,610"
99,Fremont,CA,"230,504"
100,Huntsville,AL,"215,006"
101,Tacoma,WA,"219,346"
102,Baton Rouge,LA,"227,470"
103,Santa Clarita,CA,"228,673"
104,San Bernardino,CA,"222,101"
105,Hialeah,FL,"223,109"
106,Frisco,TX,"200,509"
107,Modesto,CA,"218,464"
108,Cape Coral,FL,"194,016"
109,Fontana,CA,"208,393"
110,Moreno Valley,CA,"208,634"
111,Des Moines,IA,"214,133"
112,Rochester,NY,"211,328"
113,Fayetteville,NC,"208,501"
114,Yonkers,NY,"211,569"
115,McKinney,TX,"195,308"
116,Worcester,MA,"206,518"
117,Salt Lake City,UT,"199,723"
118,Little Rock,AR,"202,591"
119,Columbus,GA,"206,922"
120,Augusta,GA,"202,081"
121,Sioux Falls,SD,"192,517"
122,Grand Prairie,TX,"196,100"
123,Tallahassee,FL,"196,169"
124,Amarillo,TX,"200,393"
125,Oxnard,CA,"202,063"
126,Peoria,AZ,"190,985"
127,Overland Park,KS,"197,238"
128,Montgomery,AL,"200,603"
129,Birmingham,AL,"200,733"
130,Grand Rapids,MI,"198,917"
131,Knoxville,TN,"190,740"
132,Vancouver,WA,"190,915"
133,Huntington Beach,CA,"198,711"
134,Providence,RI,"190,934"
135,Brownsville,TX,"186,738"
136,Glendale,CA,"196,543"
137,Akron,OH,"190,469"
138,Tempe,AZ,"180,587"
139,Newport News,VA,"186,247"
140,Chattanooga,TN,"181,099"
141,Mobile,AL,"187,041"
142,Fort Lauderdale,FL,"182,760"
143,Cary,NC,"174,721"
144,Shreveport,LA,"187,593"
145,Ontario,CA,"175,265"
146,Eugene,OR,"176,654"
147,Aurora,IL,"180,542"
148,Elk Grove,CA,"176,124"
149,Salem,OR,"175,535"
150,Santa Rosa,CA,"178,127"
151,Clarksville,TN,"166,722"
152,Rancho Cucamonga,CA,"174,453"
